Newspaper,Position,filename
Guardian,1545,alcohol
Times,512,alcohol
Sun,678,alcohol
Mail,996,alcohol
Guardian,281,armband
Times,166,armband
Sun,421,armband
Mail,162,armband
Guardian,2631,boycott
Times,1591,boycott
Sun,4009,boycott
Mail,3174,boycott
Guardian,4904,bribery
Times,2089,bribery
Sun,10382,bribery
Mail,9171,bribery
Guardian,590,climate
Times,1978,climate
Sun,4510,climate
Mail,5007,climate
Guardian,1435,controversy
Times,1443,controversy
Sun,1040,controversy
Mail,970,controversy
Guardian,1048,corruption
Times,995,corruption
Sun,1727,corruption
Mail,3298,corruption
Guardian,1700,discrimination
Times,1002,discrimination
Sun,2842,discrimination
Mail,1623,discrimination
Guardian,690,gay
Times,307,gay
Sun,495,gay
Mail,727,gay
Guardian,87,iran
Times,41,iran
Sun,107,iran
Mail,38,iran
Guardian,9478,lesbian
Times,6291,lesbian
Sun,7717,lesbian
Mail,9734,lesbian
Guardian,2661,lgbt
Times,691,lgbt
Sun,2558,lgbt
Mail,2375,lgbt
Guardian,2692,lgbtq
Times,4327,lgbtq
Sun,2405,lgbtq
Mail,2642,lgbtq
Guardian,244,migrant
Times,189,migrant
Sun,587,migrant
Mail,374,migrant
Guardian,426,protest
Times,348,protest
Sun,749,protest
Mail,557,protest
Guardian,381,russia
Times,218,russia
Sun,271,russia
Mail,338,russia
Guardian,2056,sportswashing
Times,3469,sportswashing
Sun,14712,sportswashing
Mail,6084,sportswashing
